V1.V,V(R1.nA),I(R1.nA),
0,0,0,
0.1,0.1,0.00004694835680751174,
0.2,0.2,0.00009389671361502347,
0.30000000000000004,0.30000000000000004,0.00014084507042253522,
0.4,0.4,0.00018779342723004695,
0.5,0.5,0.00023474178403755868,
0.6000000000000001,0.6000000000000001,0.00028169014084507044,
0.7000000000000001,0.7000000000000001,0.0003286384976525822,
0.8,0.8,0.0003755868544600939,
0.9,0.9,0.00042253521126760566,
1,1,0.00046948356807511736,
1.1,1.1,0.0005164319248826292,
1.2000000000000002,1.2000000000000002,0.0005633802816901409,
1.3,1.3,0.0006103286384976526,
1.4000000000000001,1.4000000000000001,0.0006572769953051644,
1.5,1.5,0.000704225352112676,
1.6,1.6,0.0007511737089201878,
1.7000000000000002,1.7000000000000002,0.0007981220657276996,
1.8,1.8,0.0008450704225352113,
1.9000000000000001,1.9000000000000001,0.000892018779342723,
2,2,0.0009389671361502347,
2.1,2.1,0.0009859154929577464,
2.2,2.2,0.0010328638497652583,
2.3000000000000003,2.3000000000000003,0.00107981220657277,
2.4000000000000004,2.4000000000000004,0.0011267605633802818,
2.5,2.5,0.0011737089201877935,
2.6,2.6,0.0012206572769953052,
2.7,2.7,0.0012676056338028169,
2.8000000000000003,2.8000000000000003,0.0013145539906103288,
2.9000000000000004,2.9000000000000004,0.0013615023474178405,
3,3,0.001408450704225352,
3.1,3.1,0.0014553990610328639,
3.2,3.2,0.0015023474178403756,
3.3000000000000003,3.3000000000000003,0.0015492957746478875,
3.4000000000000004,3.4000000000000004,0.0015962441314553992,
3.5,3.5,0.0016431924882629107,
3.6,3.6,0.0016901408450704226,
3.7,3.7,0.0017370892018779343,
3.8000000000000003,3.8000000000000003,0.001784037558685446,
3.9000000000000004,3.9000000000000004,0.001830985915492958,
4,4,0.0018779342723004694,
4.1000000000000005,4.1000000000000005,0.0019248826291079814,
4.2,4.2,0.001971830985915493,
4.3,4.3,0.0020187793427230045,
4.4,4.4,0.0020657276995305167,
4.5,4.5,0.002112676056338028,
4.6000000000000005,4.6000000000000005,0.00215962441314554,
4.7,4.7,0.002206572769953052,
4.800000000000001,4.800000000000001,0.0022535211267605635,
4.9,4.9,0.002300469483568075,
5,5,0.002347417840375587,
5.1000000000000005,5.1000000000000005,0.0023943661971830986,
5.2,5.2,0.0024413145539906103,
5.300000000000001,5.300000000000001,0.0024882629107981225,
5.4,5.4,0.0025352112676056337,
5.5,5.5,0.0025821596244131454,
5.6000000000000005,5.6000000000000005,0.0026291079812206576,
5.7,5.7,0.002676056338028169,
5.800000000000001,5.800000000000001,0.002723004694835681,
5.9,5.9,0.0027699530516431927,
6,6,0.002816901408450704,
6.1000000000000005,6.1000000000000005,0.002863849765258216,
6.2,6.2,0.0029107981220657278,
6.300000000000001,6.300000000000001,0.0029577464788732395,
6.4,6.4,0.003004694835680751,
6.5,6.5,0.003051643192488263,
6.6000000000000005,6.6000000000000005,0.003098591549295775,
6.7,6.7,0.0031455399061032863,
6.800000000000001,6.800000000000001,0.0031924882629107984,
6.9,6.9,0.00323943661971831,
7,7,0.0032863849765258214,
7.1000000000000005,7.1000000000000005,0.0033333333333333335,
7.2,7.2,0.0033802816901408453,
7.300000000000001,7.300000000000001,0.003427230046948357,
7.4,7.4,0.0034741784037558687,
7.5,7.5,0.0035211267605633804,
7.6000000000000005,7.6000000000000005,0.003568075117370892,
7.7,7.7,0.0036150234741784038,
7.800000000000001,7.800000000000001,0.003661971830985916,
7.9,7.9,0.003708920187793427,
8,8,0.003755868544600939,
8.1,8.1,0.0038028169014084506,
8.200000000000001,8.200000000000001,0.0038497652582159627,
8.3,8.3,0.0038967136150234744,
8.4,8.4,0.003943661971830986,
8.5,8.5,0.003990610328638498,
8.6,8.6,0.004037558685446009,
8.700000000000001,8.700000000000001,0.004084507042253521,
8.8,8.8,0.004131455399061033,
8.9,8.9,0.004178403755868545,
9,9,0.004225352112676056,
9.1,9.1,0.004272300469483568,
9.200000000000001,9.200000000000001,0.00431924882629108,
9.3,9.3,0.0043661971830985915,
9.4,9.4,0.004413145539906104,
9.5,9.5,0.004460093896713615,
9.600000000000001,9.600000000000001,0.004507042253521127,
9.700000000000001,9.700000000000001,0.004553990610328639,
9.8,9.8,0.00460093896713615,
9.9,9.9,0.004647887323943662,
10,10,0.004694835680751174,
10.100000000000001,10.100000000000001,0.004741784037558686,
10.200000000000001,10.200000000000001,0.004788732394366197,
10.3,10.3,0.004835680751173709,
10.4,10.4,0.004882629107981221,
10.5,10.5,0.004929577464788732,
10.600000000000001,10.600000000000001,0.004976525821596245,
10.700000000000001,10.700000000000001,0.005023474178403756,
10.8,10.8,0.0050704225352112674,
10.9,10.9,0.00511737089201878,
11,11,0.005164319248826291,
11.100000000000001,11.100000000000001,0.005211267605633803,
11.200000000000001,11.200000000000001,0.005258215962441315,
11.3,11.3,0.005305164319248826,
11.4,11.4,0.005352112676056338,
11.5,11.5,0.00539906103286385,
11.600000000000001,11.600000000000001,0.005446009389671362,
11.700000000000001,11.700000000000001,0.005492957746478873,
11.8,11.8,0.005539906103286385,
11.9,11.9,0.005586854460093897,
12,12,0.005633802816901408,
12.100000000000001,12.100000000000001,0.005680751173708921,
12.200000000000001,12.200000000000001,0.005727699530516432,
12.3,12.3,0.005774647887323943,
12.4,12.4,0.0058215962441314556,
12.5,12.5,0.005868544600938967,
12.600000000000001,12.600000000000001,0.005915492957746479,
12.700000000000001,12.700000000000001,0.005962441314553991,
12.8,12.8,0.006009389671361502,
12.9,12.9,0.0060563380281690145,
13,13,0.006103286384976526,
13.100000000000001,13.100000000000001,0.006150234741784038,
13.200000000000001,13.200000000000001,0.00619718309859155,
13.3,13.3,0.006244131455399061,
13.4,13.4,0.006291079812206573,
13.5,13.5,0.006338028169014085,
13.600000000000001,13.600000000000001,0.006384976525821597,
13.700000000000001,13.700000000000001,0.006431924882629108,
13.8,13.8,0.00647887323943662,
13.9,13.9,0.0065258215962441316,
14,14,0.006572769953051643,
14.100000000000001,14.100000000000001,0.006619718309859156,
14.200000000000001,14.200000000000001,0.006666666666666667,
14.3,14.3,0.006713615023474178,
14.4,14.4,0.0067605633802816905,
14.5,14.5,0.006807511737089202,
14.600000000000001,14.600000000000001,0.006854460093896714,
14.700000000000001,14.700000000000001,0.006901408450704226,
14.8,14.8,0.006948356807511737,
14.9,14.9,0.006995305164319249,
15,15,0.007042253521126761,
15.100000000000001,15.100000000000001,0.007089201877934273,
15.200000000000001,15.200000000000001,0.007136150234741784,
15.3,15.3,0.007183098591549296,
15.4,15.4,0.0072300469483568075,
15.5,15.5,0.007276995305164319,
15.600000000000001,15.600000000000001,0.007323943661971832,
15.700000000000001,15.700000000000001,0.007370892018779343,
15.8,15.8,0.007417840375586854,
15.9,15.9,0.0074647887323943665,
16,16,0.007511737089201878,
16.1,16.1,0.00755868544600939,
16.2,16.2,0.007605633802816901,
16.3,16.3,0.007652582159624413,
16.400000000000002,16.400000000000002,0.0076995305164319254,
16.5,16.5,0.007746478873239437,
16.6,16.6,0.007793427230046949,
16.7,16.7,0.00784037558685446,
16.8,16.8,0.007887323943661971,
16.900000000000002,16.900000000000002,0.007934272300469484,
17,17,0.007981220657276996,
17.1,17.1,0.008028169014084508,
17.2,17.2,0.008075117370892018,
17.3,17.3,0.00812206572769953,
17.400000000000002,17.400000000000002,0.008169014084507042,
17.5,17.5,0.008215962441314555,
17.6,17.6,0.008262910798122067,
17.7,17.7,0.008309859154929577,
17.8,17.8,0.00835680751173709,
17.900000000000002,17.900000000000002,0.008403755868544601,
18,18,0.008450704225352112,
18.1,18.1,0.008497652582159626,
18.2,18.2,0.008544600938967136,
18.3,18.3,0.008591549295774648,
18.400000000000002,18.400000000000002,0.00863849765258216,
18.5,18.5,0.00868544600938967,
18.6,18.6,0.008732394366197183,
18.7,18.7,0.008779342723004695,
18.8,18.8,0.008826291079812207,
18.900000000000002,18.900000000000002,0.00887323943661972,
19,19,0.00892018779342723,
19.1,19.1,0.008967136150234742,
19.200000000000003,19.200000000000003,0.009014084507042254,
19.3,19.3,0.009061032863849766,
19.400000000000002,19.400000000000002,0.009107981220657278,
19.5,19.5,0.009154929577464789,
19.6,19.6,0.0092018779342723,
19.700000000000003,19.700000000000003,0.009248826291079813,
19.8,19.8,0.009295774647887323,
19.900000000000002,19.900000000000002,0.009342723004694837,
20,20,0.009389671361502348,